ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Low stock amount","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: views","Meta: _oembed_8839f14990715665af6410e80a29ea81","Meta: video_sp","Meta: _video_sp","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục 1","Tên tập tin tải về 1","URL tập tin tải về 1","Meta: 360_do_0_color","Meta: _360_do_0_color","Meta: 360_do_0_title","Meta: _360_do_0_title","Meta: _360_do_0_list_image","Meta: 360_do_1_color","Meta: _360_do_1_color","Meta: 360_do_1_title","Meta: _360_do_1_title","Meta: _360_do_1_list_image","Meta: 360_do","Meta: _360_do","Meta: _wcj_wholesale_price_per_product_enabled","Meta: _wcj_wholesale_price_discount_type","Meta: _wcj_wholesale_price_levels_number","Meta: _wcj_wholesale_price_level_min_qty_1","Meta: _wcj_wholesale_price_level_discount_1"
42,simple,,"iPhone X 64GB",1,1,visible,"Trả góp 0% + Trợ giá 8,000,000đ khi mua kèm gói VNM-FPT888 Xem chi tiết
\nTrả góp 0% Hoặc Tặng PMH 1,000,000đ khi lên đời iPhone X - Tiết kiệm đến 10,000,000đ
\nMua combo (iPhone + Apple Watch) giảm thêm 1,000,000đ","<strong>Thông số cơ bản</strong>
\n<ul class=""fs-dttsktul"">
\n 	<li><label>So CPU :</label>Hexa-core (2x Monsoon + 4x Mistral)</li>
\n 	<li><label>Màn hình :</label>5.8 inchs(2436 x 1125 pixel) Super Retina HD</li>
\n 	<li><label>Camera :</label>7.0 MP/ Dual 12.0 MP</li>
\n 	<li><label>RAM :</label>3 GB</li>
\n 	<li><label>Bộ nhớ trong :</label>64 GB</li>
\n 	<li><label>Hệ điều hành :</label>iOS 11</li>
\n 	<li><label>Chipset :</label>Apple A11 Bionic</li>
\n 	<li><label>CPU :</label>Hexa-core (2x Monsoon + 4x Mistral)</li>
\n 	<li><label>GPU :</label>Apple GPU (three-core graphics)</li>
\n 	<li><label>Kích thước :</label>143.6 x 70.9 x 7.7 mm</li>
\n 	<li class=""fs-dttskt-tit"">Màn hình</li>
\n 	<li><label>Công nghệ màn hình :</label>OLED Multi-Touch display HDR display</li>
\n 	<li><label>Màu màn hình :</label>16 Triệu màu</li>
\n 	<li><label>Chuẩn màn hình :</label>Super Retina HD</li>
\n 	<li><label>Độ phân giải màn hình :</label>2436 x 1125 pixel</li>
\n 	<li><label>Công nghệ cảm ứng :</label>3D Touch</li>
\n 	<li><label>Mặt kính màn hình :</label>Kính cường lực</li>
\n 	<li class=""fs-dttskt-tit"">Camera Trước</li>
\n 	<li><label>Video Call :</label>Có</li>
\n 	<li><label>Độ phân giải :</label>7.0 MP</li>
\n 	<li><label>Thông tin khác :</label>ƒ/2.2, Auto HDR</li>
\n 	<li class=""fs-dttskt-tit"">Camera Sau</li>
\n 	<li><label>Độ phân giải :</label>Dual 12.0 MP</li>
\n 	<li><label>Quay phim :</label>4K video recording at 24 fps, 30 fps, or 60 fps</li>
\n 	<li><label>Đèn Flash :</label>Có</li>
\n 	<li><label>Chụp ảnh nâng cao :</label>Auto HDR, Live Photos, Panorama...</li>
\n 	<li class=""fs-dttskt-tit"">Cấu hình phần cứng</li>
\n 	<li><label>Số nhân :</label>6</li>
\n 	<li><label>Chipset :</label>Apple A11 Bionic</li>
\n 	<li><label>RAM :</label>3 GB</li>
\n 	<li><label>Chip đồ họa (GPU) :</label>Apple GPU (three-core graphics)</li>
\n 	<li class=""fs-dttskt-tit"">Bộ nhớ &amp; Lưu trữ</li>
\n 	<li><label>Danh bạ lưu trữ :</label>Không giới hạn</li>
\n 	<li><label>ROM :</label>64 GB</li>
\n 	<li><label>Thẻ nhớ ngoài :</label>Không</li>
\n 	<li><label>Hỗ trợ thẻ nhớ tối đa :</label>Không</li>
\n 	<li class=""fs-dttskt-tit"">Thiết kế &amp; Trọng lượng</li>
